id,city,stateOrProvince,bathrooms,bedrooms,listPrice,livingArea,yearBuilt,propertySubType,listingCategory,numParkingSpaces,photoscount,grade
2698139,St Peters,1000,6,5,425000,3046,1998,10,1,3,29,awesome
2698093,St Louis,1000,2,3,175000,1587,1962,10,1,1,29,awesome
2698007,Ballwin,1000,3,3,295000,2437,1986,20,1,2,29,awesome
2697963,Manchester,1000,2,3,215000,1780,1969,10,1,2,29,awesome
2697938,Ofallon,1000,4,4,375000,3405,2007,10,1,3,29,awesome
2697936,Wildwood,1000,3,4,299900,1814,1999,10,1,2,29,awesome
2697845,Monroe City,1000,1,2,140000,2800,2012,10,1,2,29,awesome
2697825,Bismarck,1000,1,3,82500,1435,1954,10,1,1,29,awesome
2697732,St Louis,1000,4,4,239900,2358,1903,10,1,2,29,awesome
2697716,Fenton,1000,3,3,239900,1524,1985,10,1,2,29,awesome
2697594,Coral Springs,1001,3,2,109990,1377,1984,20,1,0,29,awesome
2697536,Coral Springs,1001,3,4,3000,,2000,10,2,3,29,awesome
2697492,Surfside,1001,3,2,3995000,1882,2017,20,1,0,29,awesome
2697491,Miami,1001,2,4,374000,1994,1986,10,1,0,29,awesome
2697464,Miami,1001,3,3,1750,,1996,70,2,0,29,awesome
2697341,Miami Beach,1001,2,1,615000,778,2008,20,1,1,29,awesome
2697334,Miami,1001,3,3,1225000,2399,1954,10,1,0,29,awesome
2697288,Miami Beach,1001,1,1,1350,,1976,20,2,1,29,awesome
2697218,Coral Springs,1001,2,4,415000,2310,1984,10,1,2,29,awesome
2697153,Sunrise,1001,2,4,379900,2242,1973,10,1,1,29,awesome
2697126,Pompano Beach,1001,2,3,228000,1390,1972,20,1,0,29,awesome
2697005,Sunrise,1001,2,2,85900,850,1975,20,1,0,29,awesome
2696974,Miami,1001,2,2,265000,1304,1984,10,1,0,29,awesome
2696672,Aventura,1001,2,2,227000,1081,1971,20,1,1,29,awesome
2696669,Aventura,1001,2,2,360000,1750,1995,20,1,1,29,awesome
2696650,Doral,1001,5,5,855000,4309,2017,10,1,4,29,awesome
2696607,Miami Gardens,1001,3,4,320000,1921,1955,10,1,2,29,awesome
2696535,Miami Beach,1001,2,1,552000,865,1965,20,1,1,29,awesome
2696520,Miami,1001,2,2,2700,,2006,60,2,1,29,awesome
2696463,Coconut Grove,1001,2,2,5500,,2018,20,2,1,29,awesome
2696369,Homestead,1001,3,4,293000,2513,2003,10,1,2,29,awesome
2696296,Hialeah,1001,2,4,450000,2007,1987,10,1,2,29,awesome
2696238,Miami,1001,1,3,279400,1071,1953,10,1,0,29,awesome
2696235,Hialeah,1001,2,3,314900,2693,1984,10,1,1,29,awesome
2696217,Palmetto Bay,1001,3,5,949000,5414,1980,10,1,2,29,awesome
2696170,Hollywood,1001,2,2,125000,1078,1972,20,1,0,29,awesome
2696160,Miami,1001,3,4,2575,,1989,10,2,2,29,awesome
2696077,Homestead,1001,2,4,279000,2270,2005,10,1,2,29,awesome
2696070,Miami,1001,2,3,515900,2570,1958,10,1,0,29,awesome
2696029,Homestead,1001,2,4,415000,2624,2000,10,1,2,29,awesome
2696021,Aventura,1001,1,1,1550,,1971,20,2,1,29,awesome
2695964,Bay Harbor Islands,1001,1,1,2100,,1966,20,2,1,29,awesome
2695913,Miramar,1001,3,4,2550,,2002,70,2,1,29,awesome
2695219,Montgomery,1002,2,3,125000,2052,1954,10,1,,29,awesome
2695207,Ramer,1002,2,3,82900,1064,2007,10,1,,29,awesome
2683453,Las Vegas,1003,3,3,1595,2005,2004,10,2,,35,awesome
2683452,Las Vegas,1003,2,3,1200,1255,2006,20,2,,50,awesome
2683451,Las Vegas,1003,2,3,1100,1026,1972,70,2,,40,awesome
2683450,Las Vegas,1003,2,2,1000,960,1999,20,2,,47,awesome
2683449,North Las Vegas,1003,3,4,1495,2047,2000,10,2,,35,awesome
2683448,Las Vegas,1003,4,3,1900,1584,2007,20,2,,48,awesome
2683446,Las Vegas,1003,2,3,269900,1673,2008,10,1,,35,awesome
2683444,Las Vegas,1003,3,3,339900,2494,2003,10,1,,35,awesome
2683440,Las Vegas,1003,3,2,2450,1856,1974,20,2,,47,awesome
2683435,Las Vegas,1003,2,1,1995,1534,1974,20,2,,34,awesome
2683432,Henderson,1003,3,3,1895,2851,2007,10,2,,40,awesome
2683431,Las Vegas,1003,2,2,139900,1053,2002,20,1,,35,awesome
2683425,North Las Vegas,1003,2,3,264900,1371,2009,10,1,,33,awesome
2683424,Las Vegas,1003,2,3,228900,1233,1978,10,1,,30,awesome
2683422,Las Vegas,1003,2,2,265888,1243,2006,20,1,,39,awesome
2683421,Las Vegas,1003,3,4,290000,2002,1997,10,1,,41,awesome
2683420,Las Vegas,1003,2,3,415000,2161,2003,10,1,,42,awesome
2683419,Las Vegas,1003,3,5,499999,4106,1984,10,1,,48,awesome
2683418,North Las Vegas,1003,2,2,338888,1677,2011,10,1,,47,awesome
2683415,Las Vegas,1003,3,5,2250,2291,1995,10,2,,33,awesome
2683408,Las Vegas,1003,3,4,429900,2678,2003,10,1,,49,awesome
2683406,Las Vegas,1003,4,3,4000,3586,2007,10,2,,50,awesome
2683405,Las Vegas,1003,2,3,315000,1268,1995,10,1,,33,awesome
2683404,North Las Vegas,1003,3,3,249950,1596,2000,10,1,,35,awesome
2683402,Las Vegas,1003,4,5,599000,4522,2012,10,1,,45,awesome
2683401,Pioche,1003,2,3,395000,2072,2015,10,1,,31,awesome
2683399,Pahrump,1003,6,3,378000,4801,2005,10,1,,35,awesome
2683397,Pahrump,1003,2,3,208000,1304,1998,10,1,,35,awesome
2683396,Pahrump,1003,3,4,269900,2078,2007,10,1,,32,awesome
2683394,Pahrump,1003,2,3,227000,1591,2008,10,1,,45,awesome
2683393,Pahrump,1003,3,4,249500,2060,1994,120,1,,43,awesome
2683392,Other,1003,3,4,1800,1882,2003,10,2,,47,awesome
2683391,Las Vegas,1003,2,4,2500,1533,1976,10,2,,33,awesome
2683389,North Las Vegas,1003,3,4,299900,1987,1995,10,1,,42,awesome
2683388,Las Vegas,1003,2,4,2200,1337,1972,10,2,,32,awesome
2683386,Las Vegas,1003,2,3,1795,1273,1999,10,2,,35,awesome
2683384,Henderson,1003,3,5,415000,2869,1994,10,1,,41,awesome
2683377,Pahrump,1003,2,3,238900,1738,2004,10,1,,33,awesome
2683374,Las Vegas,1003,3,3,435000,2519,2014,10,1,,36,awesome
2683371,Las Vegas,1003,3,3,399999,2061,2015,10,1,,34,awesome
2683370,Las Vegas,1003,3,4,278888,1869,1983,10,1,,41,awesome
2683366,Henderson,1003,4,4,1875,2044,2017,10,2,,47,awesome
2683360,Henderson,1003,3,3,338800,1835,2015,10,1,,50,awesome
2683343,Las Vegas,1003,3,4,499900,3704,2005,10,1,,50,awesome
2683342,Henderson,1003,4,4,749000,3623,2006,10,1,,41,awesome
2652732,Jupiter,1001,2,2,579000,1910,2008,10,1,2,36,awesome
2652725,Rosemount,1004,3,3,279900,2075,1959,10,1,2,42,awesome
2651253,Lucas,1005,3,4,4395,3545,2018,10,2,3,33,awesome
2651251,Prosper,1005,3,4,3700,3216,2017,10,2,3,31,awesome
2651249,Prosper,1005,3,4,3880,3401,2018,10,2,3,30,awesome
2651248,Lucas,1005,4,4,4695,3777,2017,10,2,3,30,awesome
2651247,Lucas,1005,4,4,5195,4101,2017,10,2,3,33,awesome
2651246,Lucas,1005,4,4,4650,4041,2018,10,2,3,31,awesome
2651232,Pottsboro,1005,3,4,265000,2285,1975,10,1,0,30,awesome
2651224,Lewisville,1005,4,4,509000,3568,2009,10,1,2,36,awesome
2651210,Allen,1005,3,4,2800,2609,2019,10,2,2,35,awesome
2651188,Sanger,1005,3,4,350000,2297,1999,10,1,8,34,awesome
2651178,Richardson,1005,1,2,1000,942,1962,30,2,1,30,awesome
2648579,Lewiston,1006,3,4,350000,3504,1987,10,1,,34,awesome
2622673,Lutz,1001,2,3,299900,2341,1998,10,1,3,28,awesome
2574950,St Petersburg,1001,1,2,175000,860,1965,10,1,1,28,awesome
2518922,Shirley,1007,1,2,95000,,1960,10,1,,6,good
2517212,Sarasota,1001,2,3,345000,2161,1995,50,1,2,32,awesome
2511861,Marina Del Rey,1008,3,2,1739000,1481,2003,20,1,,54,awesome
2511356,Little Rock,1009,2,3,149500,1605,1964,50,1,,28,awesome
2497391,ST JOHNS,1001,3,3,195000,1607,2005,70,1,,29,awesome
2494148,Las Vegas,1003,3,3,285000,1634,2007,10,1,,29,awesome
2489057,Jeffersonville,1010,3,3,162900,1584,2005,10,1,2,35,awesome
2488871,Derby,1011,2,4,119900,1779,1955,10,1,,29,awesome
2484630,SOUTH PASADENA,1001,0,0,349000,3172,1954,30,1,1,50,awesome
2484416,SEMINOLE,1001,2,3,98499,1125,1978,20,1,,34,awesome
2482157,Frisco,1005,4,5,712000,4747,2014,10,1,3,29,awesome
2481054,Dry Ridge,1012,3,3,164900,1693,,10,1,2,30,awesome
2480477,JACKSONVILLE,1001,2,3,199900,1395,1976,10,1,,29,awesome
2476919,TAMPA,1001,5,6,675000,4421,1992,10,1,3,50,awesome
2471559,Cicero,1007,1,4,125000,1188,1947,10,1,,29,awesome
2470843,Henderson,1003,3,6,469900,3466,1994,10,1,,50,awesome
2470058,Atlanta,1013,1,1,340000,0,2002,20,1,,29,awesome
2468320,Fresno,1008,3,3,314900,1821,2014,10,1,2,30,awesome
2466710,Huntersville,1014,3,4,310000,2443,2008,10,1,2,31,awesome
2464966,College Station,1005,3,3,279500,2031,2009,10,1,,32,awesome
2464247,Gilbert,1015,5,7,575000,4710,2013,10,1,,72,awesome
2464222,Avondale,1015,2,4,322900,1821,1998,10,1,,46,awesome
2463941,Surprise,1015,2,4,230000,1825,2003,10,1,,47,awesome
2463842,Mesa,1015,2,3,325000,1943,1977,10,1,,46,awesome
2434931,Fort Atkinson,1033,4,4,369900,3516,2000,10,1,2,0,bad
2434072,New York,1007,1,1,3200,,1961,20,2,,0,bad
2434068,Queens,1007,2,2,1235000,,2018,20,1,,0,bad
2432559,IRMO,1031,0,0,93280,0,,90,1,0,0,bad
2432540,New York,1007,2,2,2800,0,,50,2,0,0,bad
2432172,Lewisville,1005,3,4,327500,3088,1989,10,1,4,0,bad
2424979,Casa Grande,1015,2,4,204900,1972,2008,10,1,,57,awesome
2411657,Charlotte,1014,3,2,145000,1092,1998,90,1,2,29,awesome
2405895,Bellevue,1040,2,3,140000,1414,1962,10,1,1,29,awesome
2385136,Brooklyn,1007,2,3,4996,,1951,60,2,,10,good
2378144,Garland,1005,2,3,1295,1106,1969,10,2,2,0,bad
2378043,Haslet,1005,4,5,450000,2997,2002,10,1,3,35,awesome
2373303,CHANNAHON,1022,2,3,155000,,2018,110,1,2,9,good
2371048,Bayside,1007,3,3,3300,,,10,2,,9,good
2368306,LAKELAND,1001,2,2,146900,1392,1997,70,1,1,29,awesome
2367630,Macon,1013,2,3,12000,,1960,10,1,,0,bad
2365863,Medley,1001,3,4,400900,2546,2014,70,1,1,29,awesome
2363857,Lake Havasu City,1015,3,3,279000,1302,1997,10,1,,29,awesome
2356716,Statesboro,1013,1,2,450,0,1980,60,2,,9,good
2351591,Palm Springs,1008,2,2,299500,1333,2004,20,1,,29,awesome
2332568,Henrico,1036,2,3,210000,1188,1983,10,1,,29,awesome
2322354,De Pere,1033,2,3,159900,1698,1953,10,1,,10,good
2312772,Paxton,1039,2,3,310000,1620,2005,10,1,4,30,awesome
2304721,Candor,1007,3,4,139500,3054,1910,10,1,1,30,awesome
2304609,Independence,1000,3,3,145000,1132,1986,10,1,2,43,awesome
2304605,Kansas City,1000,1,3,239500,1233,1923,10,1,1,35,awesome
2304544,Shawnee,1011,4,4,257500,2021,2000,10,1,2,30,awesome
2302722,Gainesville,1001,2,3,329000,2057,2006,10,1,2,29,awesome
2301778,Louisville,1012,2,3,179900,1160,1954,10,1,,29,awesome
2296899,Henrico,1036,3,3,424950,2448,1956,10,1,,29,awesome
2295988,Cedar Rapids,1034,3,3,189900,2332,1999,50,1,,28,awesome
2292986,Cape Canaveral,1001,2,3,238700,1562,2004,50,1,,0,bad
2250102,Phoenix,1015,2,3,1695,1412,2003,60,2,,12,good
2232782,Beaverton,1044,4,3,385000,1656,1992,10,1,,29,awesome
2232711,Redmond,1044,3,3,595000,1779,1992,10,1,,29,awesome
2227521,PORT CHARLOTTE,1001,2,2,49500,1203,1961,10,1,2,29,awesome
2221403,Silverhill,1002,4,3,409900,2909,2004,10,1,,35,awesome
2221037,Scottsdale,1015,2,2,1800,954,1986,70,2,,50,awesome
2219268,Fort Lauderdale,1001,1,1,1000,,1957,30,2,,0,bad
2218395,New York,1007,1,1,1150000,,1987,20,1,,11,good
2217933,Redford,1027,1,2,89000,932,1941,10,1,,11,good
2214893,Lockport,1022,1,2,1000,0,1957,90,2,1,11,good
2214457,College Point,1007,3,4,3400,,2014,60,2,,11,good
2213178,Eustis,1001,2,3,150000,1174,1999,10,1,1,11,good
2213103,Sayreville,1032,2,5,324500,,1950,10,1,,11,good
2210925,Mt Washington,1012,3,4,210000,2283,2001,10,1,2,29,awesome
2210646,Eight Mile,1002,2,3,98800,1300,1981,10,1,,12,good
2200312,Palmdale,1008,2,2,70000,1248,1982,110,1,,0,bad
2192619,Springfield,1044,1,3,210000,1122,1978,10,1,,6,good
2191629,Bronx,1007,1,1,172500,650,1942,130,1,0,0,bad
2184881,Pegram,1035,2,3,374900,2150,1996,10,1,2,29,awesome
2183953,Jackson,1032,2,2,359800,2044,2004,10,1,,0,bad
2183708,TEMPLE TERRACE,1001,2,3,134900,1600,1977,70,1,,29,awesome
2182966,Bronx,1007,1,1,2350,750,,60,2,0,8,good
2182634,Euless,1005,3,5,299900,3372,1967,10,1,2,8,good
2175040,Fresno,1008,2,2,136400,1293,1952,10,1,0,6,good
2169894,Brock,1005,2,4,1725,1713,2018,20,1,0,0,bad
2168789,RIVERVIEW,1001,2,3,155000,1450,2010,120,1,,8,good
2168270,Oconomowoc,1033,2,3,2500,,,10,2,,8,good
2151664,Torrance,1008,2,3,2289,,1962,20,2,0,7,good
2147879,Yaphank,1007,2,4,2900,2000,2005,10,2,0,9,good
2135883,Crete,1040,0,0,79900,1014,1922,10,1,2,29,awesome
2132174,BROADWAY,1014,3,3,1150,,,50,2,2,8,good
2127363,Norman,1019,3,4,190000,1989,1979,10,1,,29,awesome
2123677,MIDDLETOWN,1046,3,3,335990,,2018,10,1,,8,good
2122886,"JC, Bergen-Lafayett",1032,2,2,2200,,,90,2,,10,good
2116136,Detroit,1027,1,3,7500,2054,1928,10,1,,1,bad
2114532,Port Angeles,1037,1,1,125000,476,1935,10,1,,15,good
2111650,LAKE IN THE HILLS,1022,3,4,309900,2975,1999,10,1,3,29,awesome
2111283,Flushing,1007,3,4,965000,,1955,10,1,,15,good
2111268,Flushing,1007,1,1,790000,851,2013,20,1,,14,good
2102895,Dubuque,1034,2,0,4000,,1900,50,2,0,12,good
2102145,Conway,1031,2,3,215334,,2019,10,1,4,15,good
2102054,Pine Bluff,1009,2,3,30000,1152,2003,10,1,2,12,good
2102050,Little Rock,1009,2,3,1025,1310,1974,20,2,1,12,good
2101755,Santa Rosa,1008,2,3,210000,0,2014,110,1,3,15,good
2101752,Bakersfield,1008,2,3,165900,1614,1948,10,1,,15,good
2095793,New Bern,1014,2,2,255185,1796,2019,10,1,,16,good
2095757,New York,1007,1,2,2100,,,60,2,,7,good
2094698,Dix Hills,1007,3,5,749000,0,1979,10,1,2,18,good
2094273,Plymouth,1010,4,5,264000,3382,1958,10,1,2,16,good
2094247,NAPLES,1001,2,3,1195000,1568,1967,10,1,2,16,good
2092860,Memphis,1035,2,3,64000,,1970,10,1,1,16,good
2081154,Brooklyn,1007,1,2,2500,,,60,2,,7,good
2075552,Stratford,1007,1,3,9075,1453,,10,1,0,0,bad
2073277,Saginaw,1005,2,4,200000,1744,1999,10,1,2,36,awesome
2064438,WINDERMERE,1001,3,4,540000,2738,1995,10,1,3,29,awesome
2061023,ELLICOTT CITY,1047,1,2,1250,,2017,50,1,,0,bad
2049543,Henrico,1036,2,3,159900,1120,1980,10,1,,29,awesome
2047458,Shelby,1014,2,3,139500,,1962,10,1,,16,good
2044964,Phoenix,1015,2,3,347500,1540,1996,10,1,,29,awesome
2043395,Glendale,1008,2,2,2395,1150,1962,20,2,1,0,bad
2035084,Chicago,1022,1,3,185000,1103,1954,10,1,2,21,good
2034884,Manhasset Hills,1007,3,4,975000,2216,1963,10,1,,20,good
2034251,SEMINOLE,1001,3,3,340000,2088,2006,70,1,2,39,awesome
2034220,TAMPA,1001,2,3,235000,1482,1992,10,1,2,30,awesome
2033981,ORLANDO,1001,2,3,420000,2455,1979,10,1,2,31,awesome
2032015,Palm Coast,1001,2,3,199900,1716,1982,10,1,2,33,awesome
2031580,Chesterfield,1036,2,3,239900,1712,1974,10,1,,39,awesome
2024821,Colorado Springs,1045,2,4,1395,1821,1972,10,2,1,35,awesome
2024533,PALM HARBOR,1001,2,2,141900,1045,1993,20,1,1,32,awesome
2024512,HOLIDAY,1001,2,3,205600,1720,1987,10,1,2,45,awesome
2021519,JACKSONVILLE,1001,4,5,475000,2940,1993,10,1,,62,awesome
2019984,Beechhurst,1007,1,2,444888,,1954,130,1,1,20,good
2019840,St. James,1007,3,5,768000,,2002,10,1,,20,good
2019304,Lucedale,1020,2,3,144900,1368,1995,10,1,,42,awesome
2018852,HOLIDAY,1001,2,3,205600,1720,1987,10,1,2,45,awesome
2016506,London,1012,2,4,39900,1600,1987,120,1,,30,awesome
2016499,Frankfort,1012,2,2,179900,1799,,10,1,,32,awesome
2015495,Lafollette,1035,2,3,154900,1456,1983,10,1,1,20,good
2014972,Overland Park,1011,7,5,489500,6182,2000,10,1,3,46,awesome
2014208,Jenison,1027,3,3,209000,1912,1962,10,1,2,51,awesome
2012297,Placitas,1038,3,3,375000,2380,1995,10,1,2,43,awesome
2012293,Albuquerque,1038,4,5,480000,3711,1970,10,1,3,88,awesome
2005679,Bristol,1035,1,2,69900,918,1948,50,1,,11,good
1997481,Brooklyn,1007,1,1,270000,800,1930,60,1,0,10,good
1993007,WAUKEGAN,1022,1,3,1350,1277,1960,10,2,1,20,good
1992604,Libertyville,1022,2,4,349900,1245,1955,10,1,2,22,good
1981674,CAPE CORAL,1001,2,2,950,,1983,140,2,,8,good
1980695,Abbeville,1002,1,1,29000,576,2007,110,1,,8,good
1975063,Audubon,1034,1,2,57000,1020,1970,20,1,,20,good
1969135,Scranton,1026,1,5,74900,1980,1920,10,1,0,22,good
1962076,Hopkins,1027,2,3,150000,1603,1900,10,1,2,40,awesome
1960700,Statesville,1014,2,3,169000,1300,1996,10,1,2,29,awesome
1957414,Coon Rapids,1004,2,3,209900,1624,1961,10,1,1,29,awesome
1956124,Sayreville,1032,3,3,2200,0,1987,10,1,,0,bad
1955401,Pueblo,1045,1,2,109900,856,1952,10,1,1,22,good
1953870,Ellijay,1013,3,5,549900,,1889,10,1,,24,good
1953037,CHICAGO,1022,1,2,1700,1300,1910,90,2,,16,good
1952182,SARASOTA,1001,2,4,359900,1983,1984,10,1,2,43,awesome
1951882,SANFORD,1001,3,2,169500,1289,2007,70,1,1,7,good
1951851,Orlando,1001,2,4,1695,1981,2004,10,2,2,24,good
1951231,Bernards,1032,3,3,849000,,1958,10,1,2,22,good
1949255,Duryea,1026,1,3,89900,1850,,10,1,0,22,good
1949129,Knoxville,1035,1,2,129000,1473,1952,10,1,1,22,good
1948502,Baxter,1004,3,4,184900,2610,2004,70,1,2,34,awesome
1947239,Fayetteville,1014,2,3,104900,,1979,10,1,0,24,good
1946771,Niceville,1001,2,3,195000,1558,1980,10,1,2,29,awesome
1946440,Groton,1025,1,2,90250,1248,1974,20,1,,14,good
1944541,Elkins,1009,2,4,170000,1517,1995,10,1,,29,awesome
1938248,Portland,1044,3,4,665100,3356,1922,10,1,,32,awesome
1931841,Brooklyn,1007,1,2,1650,0,,60,2,0,0,bad
1931182,Forney,1005,2,3,1750,1830,2016,10,2,2,0,bad
1925737,Cerritos,1008,4,4,653000,1849,,20,1,,30,awesome
1921938,Palm Springs,1008,4,3,979000,2182,1955,10,1,,35,awesome
1918246,Rockland,1039,2,3,359900,1576,2005,70,1,2,29,awesome
1916927,Longboat Key,1001,2,2,549000,1503,1981,20,1,,25,good
1915363,Muncie,1010,2,4,9900,1832,1908,10,1,,2,bad
1910805,Sparta,1000,2,3,145500,1714,1992,10,1,2,30,awesome
1910044,Louisville,1012,3,4,380000,3999,1991,10,1,2,61,awesome
1909718,SPANISH FORT,1002,3,4,314900,2544,2011,10,1,,34,awesome
1909447,Marietta,1013,3,4,289000,2815,1989,10,1,,36,awesome
1909393,Powder Springs,1013,2,3,139900,1395,1969,10,1,,33,awesome
1909201,Newnan,1013,4,3,364900,2252,2015,10,1,,36,awesome
1909089,Rio Rancho,1038,2,3,168000,1610,2004,10,1,2,31,awesome
1907923,Campton,1012,2,3,30900,1075,1111,10,1,,23,good
1906606,Wildwood Crest,1032,3,4,514000,,2010,20,1,2,23,good
1906592,Wadesboro,1014,2,3,45000,2012,1930,10,1,,29,awesome
